Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.059458866987937994,0.04674797245007652,0.993,0.08337265738837883,0.41155744449418885,0.025242771506496262
"Debiased lasso (Javanmard) (MCAR, IPW)",0.05946937442474889,0.04675543229768761,0.993,0.08337265738837883,0.4115549238236102,0.025243254640392378
"Debiased lasso (Javanmard) (MAR, Observed)",0.06461711389094091,0.04888780209380786,0.992,0.08908422980528033,0.4088144134086862,0.024418794596561228
"Debiased lasso (Javanmard) (MAR, IPW)",0.06494916254183343,0.049013962899809665,0.993,0.08337265738837882,0.4114640097681263,0.02497199671641293
Debiased lasso (Javanmard) (Full oracle data),0.06140116904578028,0.048251260296402886,0.982,0.132951118836962,0.37546917835572996,0.020183610346596142
"Lasso Refitting (MCAR, Observed)",0.0,0.0,1.0,0.0,0.0,0.0
"Lasso Refitting (MCAR, IPW)",0.0001683950705117843,0.005322456469798145,0.999,0.03160696125855822,0.0001925732430014221,0.006086655030980865
"Lasso Refitting (MAR, Observed)",0.0002113416188573074,0.006679866359543894,0.999,0.031606961258558226,0.00021364789569028837,0.006752760762055429
"Lasso Refitting (MAR, IPW)",0.00027933983843507314,0.006240068630695309,0.999,0.03160696125855822,0.0005277235289146712,0.012380162930306741
Lasso Refitting (Full oracle data),0.0,0.0,1.0,0.0,0.0,0.0
"Proposed framework (MCAR, 1SE)",0.11350613221054866,0.08836592243238947,0.933,0.25002199903208516,0.5461360740545892,0.03116347953083428
"Proposed framework (MAR, 1SE)",0.1082890364515747,0.0830058293382536,0.945,0.22798026230356,0.5372270361077981,0.03004804654392432
