m_obs1,sigma_hat_obs1,m_obs2,sigma_hat_obs2,m_ipw1,sigma_hat_ipw1,m_ipw2,sigma_hat_ipw2,m_full,sigma_hat_full,m_var_oracle,m_var_mcar
2.3300781429944446,5.50245495887213,2.582546261881463,4.858037446839923,2.632766437699808,2.5206067708834383,2.757112904636041,2.855960215159957,2.9198645022440526,2.639231069742735,4.257401315789477,6.082001879699253
2.573934831993353,5.780514875622242,1.5734980635550115,6.3240355564226665,2.7131542276885243,3.5645806367602444,2.1049744601119995,3.948492867013513,2.504538969371297,3.2523550776882098,4.257401315789477,6.082001879699253
2.293850268872853,6.100701392448081,2.8484993093030413,5.915902108284844,2.873331839039102,3.111371217371432,3.0884833689828826,3.4621579778038827,3.053979903302225,2.767960041123388,4.257401315789477,6.082001879699253
2.927217690247762,5.280302670768422,2.217982314927802,4.819895158160539,3.0744585729459706,2.987040980323516,2.524911998331012,2.752373299206111,2.71747907414089,2.4928857765868417,4.257401315789477,6.082001879699253
2.087917744718506,4.962599250887345,2.370264417188526,4.822925149677832,2.4695646463747694,2.322378309648671,2.5989878602909746,2.361752990682038,2.4983059234604346,2.41731786625922,4.257401315789477,6.082001879699253
2.8538824941628613,5.460996021661493,1.9098388020196837,5.787637471248536,3.1236852519323177,3.033568770795396,2.346433779800987,3.557394036596764,3.118661393751214,2.9867768768303886,4.257401315789477,6.082001879699253
2.020426497596024,7.162451285755379,2.276145602334594,5.860338326485052,2.589452992796761,3.934001363310505,2.9022649081185783,2.898603000001731,2.6559683407976085,2.932402737117969,4.257401315789477,6.082001879699253
2.5160220956801043,6.326870307909178,1.9384680901801528,6.848823280227235,2.864087015347124,3.880727884418313,2.637368818221284,4.361569253427746,2.611120446884802,3.2605919908759566,4.257401315789477,6.082001879699253
1.9326569933326987,6.278204759042452,2.1112304547099536,5.983372066180147,2.304228886646941,3.4878039739613063,2.6249601210034417,3.5641003055493488,2.3130785998969468,3.1648392821211297,4.257401315789477,6.082001879699253
2.149285353670841,5.881375900535565,2.8619272389843835,5.608468358967921,2.804349270588242,2.835462880474882,3.211521214438085,3.232359482059871,3.1491382873395186,3.0040770671926023,4.257401315789477,6.082001879699253
2.236195522302297,6.101308635121122,2.4454449580277746,5.690398090640089,3.003944383470188,3.1038655539303046,2.8288798340031933,2.918413159133739,2.6424160031769555,2.8724653511557667,4.257401315789477,6.082001879699253
1.9676531806268365,5.706340089540984,2.159485482880193,6.284356383843797,2.362933547094981,2.901537010865391,2.452200844386637,3.816311540957849,2.54935051742216,2.9665599097523305,4.257401315789477,6.082001879699253
2.861927238934422,5.964213500583747,2.972150477073371,5.085990555746005,3.0842871375742758,2.982314501853801,3.1219655386236385,2.881984986298532,2.9886394951118165,2.61504103154025,4.257401315789477,6.082001879699253
3.384383555242493,5.606158622538513,3.3039597185699203,6.011407453528981,3.303568914197341,3.1531311193896223,3.335415924011366,3.2702770587673617,3.0492897593816632,2.782862536896487,4.257401315789477,6.082001879699253
1.6378615726047014,5.922902422398946,2.3723547381721537,4.698126872573779,2.337677720240423,3.124808764210992,2.7392549964597337,2.5501196137175777,2.606901203156404,2.769777080951093,4.257401315789477,6.082001879699253
3.160870993542291,6.033493329863277,2.252398590052019,5.553274090194122,2.970863282604173,3.4266393171280662,2.57263437442912,2.876539799746548,2.7042749139081383,2.9520247968050173,4.257401315789477,6.082001879699253
2.76083740691474,6.451523669041684,2.4176677649619496,5.747843665346851,2.709895438164501,3.89259125648888,2.622934844347164,3.3000652531626558,2.526349267189545,3.604498976644749,4.257401315789477,6.082001879699253
2.467311788321404,6.271575271962395,1.9590918317111865,6.052474571054158,2.7884080969644764,3.3352029011656987,2.5267475404734188,3.623525086574139,2.6046332349284618,3.314634782819431,4.257401315789477,6.082001879699253
