m_obs1,sigma_hat_obs1,m_obs2,sigma_hat_obs2,m_ipw1,sigma_hat_ipw1,m_ipw2,sigma_hat_ipw2,m_full,sigma_hat_full,m_var_oracle,m_var_mcar
2.143680543447246,1.0118706173240808,2.117624430702397,0.9904453131407954,2.163432753936175,1.1920281518495812,2.14787194691391,1.1493535690091057,2.1545667554501167,0.9965881157250688,1.0724553383959836,1.5320790548514052
2.1123377702364503,0.9915211818900714,2.1296124737783417,0.992854127208655,2.129283971142049,1.1667884958667,2.189631790878637,1.1514495063489734,2.1330017519670417,0.9823950180845972,1.0724553383959836,1.5320790548514052
2.1328981488558947,1.0144130925613846,2.121403313261148,1.0012580319994604,2.150022353893189,1.195611163940866,2.125466188679212,1.1770761209632106,2.147485319844502,1.000900250809353,1.0724553383959836,1.5320790548514052
2.1490137341659525,1.0567751662539195,2.119949618176159,1.019806516755674,2.16283564251117,1.2488614781281338,2.1259111397983497,1.2407384965435198,2.1774788774070406,1.0101227909786537,1.0724553383959836,1.5320790548514052
2.185752864096371,1.0505701189334589,2.2190068654688657,1.0720702723482451,2.2055322726481075,1.2387610151992512,2.2208630766990303,1.2656285769902045,2.197942871888006,1.0148642925108289,1.0724553383959836,1.5320790548514052
2.144941172969958,1.041602854354182,2.1071122342706468,1.0739392681053257,2.161651474407848,1.229187536465435,2.1229934013452323,1.2535769017833376,2.146907390344889,1.0436709364633292,1.0724553383959836,1.5320790548514052
2.142549403859492,1.033141160100646,2.144376862966632,1.069258595275265,2.161621554428325,1.2071368242466591,2.160984961992556,1.287149919575077,2.151271066806139,1.0416237549086844,1.0724553383959836,1.5320790548514052
2.052437947685037,1.0628083663477144,2.0704240919639942,1.0813899266389204,2.0739450682717324,1.2492614142963236,2.0827991318647148,1.264907534006842,2.123687185117256,1.0466439454508534,1.0724553383959836,1.5320790548514052
2.095843868010262,0.9846327321939636,2.1090661223167984,1.000002255271554,2.1107388325986047,1.1598158436883694,2.1625208553161146,1.1739320043513566,2.1116207893467727,0.989310442879371,1.0724553383959836,1.5320790548514052
2.0657122795579403,1.0660934505289006,2.078263380617688,1.0905253398539687,2.0852575200201766,1.2561526184821643,2.059699226306276,1.3235686434269016,2.107176014510622,1.073379488422514,1.0724553383959838,1.5320790548514056
2.135686369293315,1.037487421916391,2.1329089845710123,1.036718734031496,2.155626649742095,1.2242914502500502,2.136254848070219,1.234420942405918,2.160191037667866,1.0209128403613763,1.0724553383959838,1.5320790548514056
2.0730113408945066,1.0690321992996,2.0280013905720424,1.0661752143259715,2.092898605615535,1.256759840502061,2.049957084152743,1.2723770390619633,2.0771652665542466,1.045836160945618,1.0724553383959838,1.5320790548514056
2.0374720985555603,1.0885142200610802,2.1089515981765232,1.0717932760729882,2.05915499596296,1.281416493284602,2.144578860761341,1.2557241332626492,2.094992086230313,1.0534924275375386,1.0724553383959838,1.5320790548514056
2.182719904347782,0.9788869094785854,2.1531325286069163,0.9981792646008564,2.1983848682623126,1.150953476590558,2.166478349028788,1.2045292126413438,2.177720789769975,1.0070730361984466,1.0724553383959838,1.5320790548514056
2.138399668788572,1.0089406551584958,2.170432185794003,1.009701566842084,2.153416612328023,1.1847645850873991,2.159365608645886,1.1915248085551062,2.176729343847846,0.9863032901061034,1.0724553383959838,1.5320790548514056
2.1262629928587526,1.0067569454765828,2.1775652057181696,1.0543322802544757,2.145354673088189,1.186233076413743,2.1952036658908307,1.2522338096318817,2.197575680561749,1.0105160321051196,1.0724553383959838,1.5320790548514056
2.19532972500549,1.0039054821790503,2.203817120672704,1.054379227760733,2.2148628982441965,1.175075655165504,2.255929595021737,1.220194651763246,2.206806156568903,1.0133172289853205,1.0724553383959838,1.5320790548514056
2.1399029340677487,1.0966829819472077,2.138111537543501,1.083625348220857,2.163375270135188,1.2934351706971166,2.178960028677757,1.257366100207503,2.144019460972219,1.0689344249404902,1.0724553383959838,1.5320790548514056
2.152743335301038,1.0304712045741982,2.184519275475425,1.0448241477631244,2.1715351274745425,1.214848418659295,2.1967895087442817,1.2157343137437735,2.162375206077734,1.0103120790029718,1.0724553383959838,1.5320790548514056
2.11721679152076,1.0732399115334998,2.112924777677668,1.078747275288063,2.135559983035465,1.2661463122816825,2.1590696593423813,1.278558750901162,2.118182048071623,1.0607479397562136,1.0724553383959838,1.5320790548514056
2.147251469761471,1.054463110996501,2.112139071790211,1.0560556461550952,2.1677980082398323,1.2379593687052046,2.095118645750229,1.2621784649029597,2.150829772299513,1.0490359491026928,1.0724553383959838,1.5320790548514056
2.189163578825712,1.049665226221817,2.157274559393977,1.1109079395916568,2.206053908668895,1.238017094972642,2.1518626718381118,1.2789765092575591,2.1743450585671336,1.06474995704745,1.0724553383959838,1.5320790548514056
2.167838294939145,1.0396869392246326,2.165642472077882,1.0393589706515354,2.186439241908088,1.224490826060416,2.1720270757053184,1.2186133476007233,2.171169388572863,1.0271515673014413,1.0724553383959838,1.5320790548514056
2.1130795754813563,1.0039862093241474,2.0820623182280507,1.028566824157764,2.128068528600362,1.175120404898972,2.119407077926681,1.200544772368532,2.125678990130143,1.0046669631011464,1.0724553383959836,1.5320790548514052
2.1251896861524324,1.0537884115606704,2.086552739840513,1.0326587900544535,2.1429759793802337,1.2440922473032583,2.1269080483188274,1.2219819029501768,2.1124207429371227,1.0390511323108351,1.0724553383959836,1.5320790548514052
