m_obs1,sigma_hat_obs1,m_obs2,sigma_hat_obs2,m_ipw1,sigma_hat_ipw1,m_ipw2,sigma_hat_ipw2,m_full,sigma_hat_full,m_var_oracle,m_var_mcar
2.7655054241563324,4.265173317387852,3.3867279915621205,2.2672210370725776,2.909070041159635,5.030372712210471,3.4715487437541035,2.676463475910338,3.082051729147508,3.7272404416307,1.5599816502174824,2.2285452145964038
3.2352046848279574,2.867593184296315,3.502237389245185,2.276763821421281,3.3421993100518925,3.3763442388696707,3.5795531842481685,2.6763072588118804,3.4501125677135605,2.6135044206404667,1.5599816502174824,2.2285452145964038
3.5505379558392103,2.0663848343390088,3.508619327135466,1.8197472322146868,3.616051400576516,2.4402317568555576,3.637185234705792,2.1803987347774987,3.59818150914999,1.944340226985013,1.5599816502174824,2.2285452145964038
3.5409406452055787,2.2832931733243527,3.5221181106273134,2.859355034936971,3.6064001744354415,2.6977498925967125,3.6110273809851696,3.2378434774020746,3.6519724798151794,2.693051520592312,1.5599816502174824,2.2285452145964038
3.3661564649440936,3.0701051074521115,3.498581184336343,2.3238264318264426,3.470351766339033,3.617724487124955,3.5961221342688496,2.672385025931564,3.5753840110509625,2.8816964038514827,1.5599816502174824,2.2285452145964038
3.3305603311474354,3.2499235468633265,3.4592870888429648,2.9540624390966297,3.439460529207829,3.8136887315998194,3.5881872706975733,3.443354121805099,3.419454983349813,2.9981095945812344,1.5599816502174824,2.2285452145964038
3.373283420145222,3.1022731722412424,3.3016651303917777,3.324615459758768,3.47155156957753,3.649120948614415,3.5163017596867143,3.781926594698321,3.439429606984522,3.1483943001352013,1.5599816502174824,2.2285452145964038
3.5460890578493327,2.1808531504142907,3.434853998390577,2.5233298001102864,3.618464777319,2.5690293577470613,3.560929429114157,2.910702746383711,3.5792661252464533,2.213634655913283,1.5599816502174824,2.2285452145964038
3.12643688842781,2.628462488844185,3.29123679686441,2.72373309029057,3.208003050267245,3.0958851745157485,3.35232870864487,3.1852385306445137,3.422021954137193,2.5830718848046748,1.5599816502174824,2.2285452145964038
3.329060229035528,2.438396855805063,3.3250263273640663,3.2712621753863167,3.4186978693714227,2.8750988856608983,3.457525373341591,3.501424721211671,3.464239321883471,2.993660524815564,1.5599816502174826,2.228545214596404
3.1568401971926434,3.096738263006741,3.1649247078446807,2.755032070636981,3.250740879714657,3.656888382621151,3.2334436903023303,3.2474652916311126,3.349887291749379,2.8014297277423066,1.5599816502174826,2.228545214596404
3.3377487767754803,4.384813436636728,3.1814166106596886,4.163719485041212,3.4760906267773586,5.172727247850491,3.3648617288800056,5.007346346253261,3.4499838393267885,3.81739754031226,1.5599816502174826,2.228545214596404
3.4952316041287754,2.3842614062149807,3.1092018352743382,4.493233181705408,3.572811505140775,2.806252782957986,3.463491176630559,4.698404675417589,3.3105212363954983,3.887571593531781,1.5599816502174826,2.228545214596404
3.48527296437622,2.661026445945797,3.553010592527866,2.6294650945772333,3.56637763926489,3.134673675808523,3.639033094320786,3.1522723493326765,3.5380123982936453,2.8536294808761467,1.5599816502174826,2.228545214596404
3.281317385572577,3.321006303723697,3.335841452838951,3.771028446436481,3.3989101470493552,3.9144875432957447,3.403605013820775,4.348938032456474,3.567733301984876,3.70374179204463,1.5599816502174826,2.228545214596404
3.533641824611183,2.2050985732436383,3.42862555016358,2.274094329705356,3.602963551188188,2.590962412659461,3.550697138975909,2.6770609745043896,3.5427117741575125,2.159383816589757,1.5599816502174826,2.228545214596404
3.4079795463360805,2.547124758539224,2.934414333213569,4.949053542642617,3.488412236917208,2.9912897430166043,3.0978153167536604,5.31388940249854,3.2032628074285925,4.360250057435312,1.5599816502174826,2.228545214596404
2.867473679299421,4.667467044209023,2.8623660137480536,4.741897757040032,3.03351827910375,5.485646265255145,3.147023358630025,5.073597388218362,3.196119862202188,4.018987302410429,1.5599816502174826,2.228545214596404
