m_obs1,sigma_hat_obs1,m_obs2,sigma_hat_obs2,m_ipw1,sigma_hat_ipw1,m_ipw2,sigma_hat_ipw2,m_full,sigma_hat_full,m_var_oracle,m_var_mcar
5.260608428046917,1.665271776750444,5.201182443458952,1.6798015674182196,5.33680900823388,1.7738980377123488,5.255719940265778,1.7941925358926936,5.284543720546648,1.552073982447715,1.5599816502174824,2.2285452145964038
5.150630428076264,1.6140709047643087,5.182676193660247,1.6426514400241383,5.232170762269661,1.747086663258057,5.277758261187075,1.756640563607869,5.2429626779923,1.5189206786832663,1.5599816502174824,2.2285452145964038
5.029117396401479,1.6830309623092692,5.103066927817382,1.6844923280669104,5.160317902075295,1.7524437288239991,5.157818634071282,1.7402585755490596,5.169435732327925,1.5139829907165736,1.5599816502174824,2.2285452145964038
5.242601973310232,1.6110721215273178,5.256087482336128,1.672771094250073,5.297252595532884,1.728090384710735,5.260936364293169,1.7930985652425628,5.323134939005735,1.5545331982527573,1.5599816502174824,2.2285452145964038
5.273817566335923,1.5994012023524944,5.159915625951675,1.7331956098592145,5.358593327617003,1.7098376002302336,5.201605778622829,1.788239856783918,5.269041172234214,1.490411483397502,1.5599816502174824,2.2285452145964038
5.118040094237615,1.5866543427510191,5.139769304160146,1.722162255488042,5.210390751221958,1.703996059860593,5.241100198015998,1.7967241272137549,5.235296451729741,1.5210164475612435,1.5599816502174824,2.2285452145964038
5.052808062713133,1.7027268021365376,5.050768087590202,1.6430861640543737,5.140458631289694,1.8412257531037457,5.102187013952822,1.7811585715974927,5.177662657168613,1.5235401007388505,1.5599816502174824,2.2285452145964038
5.183000188507284,1.5582785507290384,5.222166782621111,1.612986397714181,5.265659966468188,1.663717344360812,5.291366141775247,1.7014848163925855,5.274548183454015,1.4656769252591004,1.5599816502174824,2.2285452145964038
5.163128645643242,1.6435792123451871,5.160477363836449,1.6897407908849922,5.23898274223188,1.790101581465827,5.266652542589403,1.8357584771824755,5.271251904649303,1.5339838413865274,1.5599816502174824,2.2285452145964038
5.130295395551976,1.593635509254684,5.101441631583894,1.5855189930553637,5.215534888203651,1.7104895273865857,5.192614552671796,1.6626310461793288,5.243353493723828,1.4687495289418584,1.5599816502174826,2.228545214596404
5.103151270293623,1.5337743699585653,4.965403416591661,1.5976384853727583,5.187018141762224,1.6307849475210088,5.044414988355984,1.6938150918448929,5.1328892823717975,1.4245400711079064,1.5599816502174826,2.228545214596404
5.239340362588646,1.61653156060057,5.151242697047028,1.6202614040272,5.324598195826629,1.761991737759717,5.313649756539726,1.7067434274591533,5.230461639737606,1.5063428325380137,1.5599816502174826,2.228545214596404
5.254008041574771,1.5456146450504495,5.110963072457555,1.7051071833750304,5.332289880146661,1.680885063887887,5.221590321885623,1.8141128967417683,5.297474383717212,1.4897239445569204,1.5599816502174826,2.228545214596404
5.316517846539659,1.5980816372021935,5.209512210223343,1.6800797368198666,5.38478289988509,1.7187564399071862,5.253184183325281,1.8257852304393123,5.279343171786642,1.5132911287370092,1.5599816502174826,2.228545214596404
5.254623132733868,1.6667837250671085,5.309884974824934,1.6546641145673804,5.320723622287037,1.783383926813771,5.371644359296401,1.7281170379884023,5.374356541927333,1.5134003522759991,1.5599816502174826,2.228545214596404
5.181923916776477,1.5658319648433596,5.232677589410328,1.6671732263154329,5.271015043993951,1.643975333127602,5.279618316260594,1.7298679374417196,5.314770679526788,1.4529798164949728,1.5599816502174826,2.228545214596404
5.292789632601703,1.639804362751435,5.322592099474222,1.5491591108024676,5.371743715030276,1.741716597742336,5.482094518490659,1.612322299940793,5.365540262334339,1.4910196044039543,1.5599816502174826,2.228545214596404
5.194216963491675,1.4810366125390777,5.172286282053436,1.5290349107155596,5.281794306615313,1.5655407067053049,5.273721898431987,1.6275439524936808,5.234507219265657,1.4032593284114123,1.5599816502174826,2.228545214596404
5.163342846371669,1.579077408864744,5.158374068296087,1.6812378905952805,5.232156862210552,1.6991775665211155,5.226055155060263,1.7608379901751403,5.235924817109153,1.4736542864145246,1.5599816502174826,2.228545214596404
5.128815907292023,1.6303642279967012,5.156291216334869,1.7003830363469477,5.228748407014983,1.7739244346808345,5.293013393635664,1.769996788127094,5.241762349175875,1.494400942719484,1.5599816502174826,2.228545214596404
5.28655610051095,1.6427254578938273,5.2477906008811255,1.6714375502445995,5.362179591335908,1.761130920115877,5.304764887862797,1.8117061253048423,5.304564486847647,1.5565167842930667,1.5599816502174826,2.228545214596404
5.205915177844451,1.5776374427211175,5.097157747059539,1.6952021064627163,5.2940054566280255,1.6714311396489818,5.208178047794814,1.7329230222568306,5.21056972580623,1.481950297207112,1.5599816502174826,2.228545214596404
5.169006412992827,1.6013182011249658,5.126000461615373,1.578955724112676,5.264597976337756,1.7436566037981789,5.240910111465147,1.681533120112607,5.279278401473752,1.494821546589412,1.5599816502174826,2.228545214596404
5.243114636678302,1.5853399126168275,5.217119392171565,1.566987168430111,5.327857004383167,1.6951017112806015,5.365103655995373,1.6246067280418115,5.301743731838252,1.435996173668297,1.5599816502174824,2.2285452145964038
5.195791614347993,1.657698906299653,5.172759645102838,1.755701678961259,5.279528035720927,1.794607957239755,5.311196346441566,1.890937652075214,5.265747090590866,1.5504322687089382,1.5599816502174824,2.2285452145964038
5.280195229165942,1.5638181766161658,5.263797265613396,1.6420377860375497,5.337529539671616,1.6693405211073409,5.323387791448736,1.709618064482353,5.271417451674055,1.4849186683777575,1.5599816502174824,2.2285452145964038
5.3561233009083695,1.5609254546952176,5.236575363530689,1.539872720835648,5.416598885891937,1.6895049144474952,5.315352234290499,1.5998177141698458,5.348582167764285,1.4683042301851637,1.5599816502174824,2.2285452145964038
5.137817280369409,1.6254050569000666,5.275605964466663,1.6292549935336356,5.2368303388358415,1.728465789799367,5.349071985423116,1.704875514618707,5.29294911850404,1.4821022324896458,1.5599816502174824,2.2285452145964038
5.092295174308211,1.646163580035198,5.126390843531712,1.62272020567068,5.192776263274812,1.7777879774641137,5.257924473064355,1.7639931163812508,5.210560446374184,1.4932607432610183,1.5599816502174824,2.2285452145964038
5.153988433206704,1.6171348342759726,5.0206623560375965,1.7031115379402924,5.265478272342956,1.7409015499220777,5.169494961323672,1.7610136904068605,5.216421758686879,1.523161897476849,1.5599816502174824,2.2285452145964038
5.114940335052214,1.6591148653431338,5.117555059533549,1.616329274025779,5.226287743268923,1.7571944281148084,5.18683468957422,1.712735458946887,5.235310946459226,1.4981673101178596,1.5599816502174824,2.2285452145964038
5.080123012031158,1.579833657325351,5.108218192842086,1.561423806547375,5.178445575231768,1.7244618001028305,5.211832782808786,1.6968422220305917,5.213449883027632,1.4760266712644237,1.5599816502174824,2.2285452145964038
5.265436925786129,1.5621366701277823,5.192913449898318,1.5821190261481364,5.319809075252127,1.7145281526586142,5.365246576352734,1.6645379700675844,5.279694972801301,1.452619074554789,1.5599816502174824,2.2285452145964038
