m_obs1,asym_se_obs1,sigma_hat_obs1,ci_len_obs1,m_obs2,asym_se_obs2,sigma_hat_obs2,ci_len_obs2,m_ipw1,asym_se_ipw1,sigma_hat_ipw1,ci_len_ipw1,m_ipw2,asym_se_ipw2,sigma_hat_ipw2,ci_len_ipw2,m_full,asym_se_full,sigma_hat_full,ci_len_full
0.0,0.0,3.85336900206799,0.0,0.0,0.0,3.7613362250493534,0.0,0.0,0.0,4.548622167633631,0.0,0.0,0.0,4.337299261836544,0.0,0.0,0.0,3.8608166966916433,0.0
0.0,0.0,3.81043594477282,0.0,0.0,0.0,3.8095240362665215,0.0,0.0,0.0,4.457893438468976,0.0,0.0,0.0,4.352467106463489,0.0,0.0,0.0,3.8253948735001737,0.0
0.0,0.0,3.9083079754209575,0.0,0.0,0.0,3.787228743652431,0.0,0.0,0.0,4.61099828911288,0.0,0.0,0.0,4.438558519636749,0.0,0.0,0.0,3.8891792012482767,0.0
0.0,0.0,4.076033803843434,0.0,0.0,0.0,3.920727156303488,0.0,0.0,0.0,4.832109298088468,0.0,0.0,0.0,4.685997956650852,0.0,0.0,0.0,3.914133187528964,0.0
0.0,0.0,4.0658276692981,0.0,0.0,0.0,4.027034449610699,0.0,0.0,0.0,4.818091700395224,0.0,0.3309720037144256,0.0333661830712041,4.628479538051183,0.6065764126239681,0.0,0.0,3.9739377653415455,0.0
0.0,0.0,3.999942410060615,0.0,0.0,0.0,4.058578465635729,0.0,0.0,0.0,4.780845604194411,0.0,0.0,0.0,4.844386566319716,0.0,0.0,0.0,4.054531829682038,0.0
0.0,0.0,3.96101982475812,0.0,0.0,0.0,4.089017385504481,0.0,0.0,0.0,4.660037390151344,0.0,0.0,0.0,4.617836314591062,0.0,0.0,0.0,4.018875375868743,0.0
0.0,0.0,4.112749910263942,0.0,0.0,0.0,4.071547102041468,0.0,0.0,0.0,4.882783109747622,0.0,0.0,0.0,4.730972385191113,0.0,0.0,0.0,4.090330830844481,0.0
0.0,0.0,3.8068310857440135,0.0,0.0,0.0,3.807085368881542,0.0,0.0,0.0,4.52985017929584,0.0,0.0,0.0,4.479877243821608,0.0,0.0,0.0,3.854817657998007,0.0
0.0,0.0,4.104650340180699,0.0,0.0,0.0,4.197417209786291,0.0,0.0,0.0,4.878749362565251,0.0,0.0,0.0,4.884606371284875,0.0,0.0,0.0,4.181261549806383,0.0
0.0,0.0,3.997991626669572,0.0,0.0,0.0,3.9705076564329778,0.0,0.0,0.0,4.778513972074824,0.0,0.0,0.0,4.751905301669725,0.0,0.0,0.0,3.984432649902608,0.0
0.0,0.0,4.112119733474731,0.0,0.0,0.0,4.047752372713996,0.0,0.0,0.0,4.77401683344699,0.0,0.0,0.0,4.771230568025154,0.0,0.0,0.0,4.049477995729029,0.0
0.0,0.0,4.203305699075479,0.0,0.0,0.0,4.127108313434574,0.0,0.0,0.0,4.946935476745278,0.0,0.0,0.0,4.79579937792347,0.0,0.0,0.0,4.113042557910262,0.0
0.0,0.0,3.732386361733594,0.0,0.0,0.0,3.83988988471632,0.0,0.0,0.0,4.4610549606335,0.0,0.0,0.0,4.483405063562697,0.0,0.0,0.0,3.923809537746857,0.0
0.0,0.0,3.832002979028264,0.0,0.0,0.0,3.8654153577020542,0.0,0.0,0.0,4.580119591589205,0.0,0.0,0.0,4.507061734351205,0.0,0.0,0.0,3.818031530261433,0.0
0.0,0.0,3.873067460023001,0.0,0.0,0.0,4.064333994720908,0.0,0.0,0.0,4.574856736843359,0.0,0.0,0.0,4.526095912597529,0.0,0.0,0.0,3.939445143573225,0.0
0.0,0.0,3.840597700096682,0.0,0.0,0.0,4.066040125437239,0.0,0.0,0.0,4.419967397860704,0.0,0.0,0.0,4.584458751244879,0.0,0.0,0.0,3.924932725659441,0.0
0.0,0.0,4.227799909999765,0.0,0.0,0.0,4.171185111305242,0.0,0.0,0.0,5.008303514378729,0.0,0.0,0.0,4.782972745536102,0.0,0.0,0.0,4.165987791699711,0.0
0.0,0.0,3.9734233945416015,0.0,0.0,0.0,4.030033059232235,0.0,0.0,0.0,4.68598807897491,0.0,0.0,0.0,4.722960154990905,0.0,0.0,0.0,3.9171499832080943,0.0
0.0,0.0,4.144101199119828,0.0,0.0,0.0,4.144982122357707,0.0,0.0,0.0,4.924437874832414,0.0,0.0,0.0,4.73097209901644,0.0,0.0,0.0,4.138500766675851,0.0
0.0,0.0,4.026585409367572,0.0,0.0,0.0,4.073446216773946,0.0,0.0,0.0,4.768000678210756,0.0,0.0,0.0,4.698269041935607,0.0,0.0,0.0,4.095285439172329,0.0
0.0,0.0,4.050891318156207,0.0,0.0,0.0,4.287952251127207,0.0,0.0,0.0,4.80061258840386,0.0,0.0,0.0,4.996556125050753,0.0,0.0,0.0,4.154259547245168,0.0
0.0,0.0,4.006963765395217,0.0,0.0,0.0,4.002507160854896,0.0,0.0,0.0,4.680119902099646,0.0,0.0,0.0,4.649164658886612,0.0,0.0,0.0,4.004458922549691,0.0
0.0,0.0,3.8570883475709934,0.0,0.0,0.0,3.875285894148119,0.0,0.0,0.0,4.610102341747173,0.0,0.0,0.0,4.531813346155512,0.0,0.0,0.0,3.910147377296383,0.0
0.0,0.0,4.069766012241436,0.0,0.0,0.0,3.926742968453596,0.0,0.0,0.0,4.864300771127712,0.0,0.0,0.0,4.320494698991619,0.0,0.0,0.0,4.054972203609351,0.0
0.0,0.0,3.894587791888071,0.0,0.0,0.0,3.712599376251534,0.0,0.0,0.0,4.526541212587008,0.0,0.0,0.0,4.412039874597123,0.0,0.0,0.0,3.896951382175612,0.0
0.0,0.0,4.086866105735625,0.0,0.0,0.0,4.2537552765256965,0.0,0.0,0.0,4.764405202845156,0.0,0.0,0.0,5.2118386168517645,0.0,0.0,0.0,4.183029685338388,0.0
0.0,0.0,3.746609369987421,0.0,0.0,0.0,3.929419785516627,0.0,0.0,0.0,4.422081246778051,0.0,0.0,0.0,4.549860385217822,0.0,0.0,0.0,3.889460275647004,0.0
0.0,0.0,4.1109131916654205,0.0,0.0,0.0,3.9663748655288047,0.0,0.0,0.0,4.913481057168674,0.0,0.0,0.0,4.683472170920451,0.0,0.0,0.0,4.086661900248201,0.0
0.0,0.0,4.198067603832129,0.0,0.0,0.0,4.052750084454,0.0,0.0,0.0,4.92718569082611,0.0,0.0,0.0,4.735141534477706,0.0,0.0,0.0,4.112356050902809,0.0
0.0,0.0,3.817656275064695,0.0,0.0,0.0,3.7988315328990176,0.0,0.0,0.0,4.501739151833641,0.0,0.0,0.0,4.351351152116437,0.0,0.0,0.0,3.863744762032496,0.0
0.0,0.0,3.996313726928907,0.0,0.0,0.0,3.986200247216836,0.0,0.0,0.0,4.6839702143298405,0.0,0.0,0.0,4.602726055254329,0.0,0.0,0.0,4.010199084736471,0.0
0.0,0.0,4.085213881406055,0.0,0.0,0.0,3.9653610044891385,0.0,0.0,0.0,4.849148325695157,0.0,0.0,0.0,4.530042422494385,0.0,0.0,0.0,4.043840841744818,0.0
0.0,0.0,4.000201411524037,0.0,0.0,0.0,3.968374204531681,0.0,0.0,0.0,4.714962472338819,0.0,0.0,0.0,4.681938148113401,0.0,0.0,0.0,3.8879421184922336,0.0
0.0,0.0,4.107701255757695,0.0,0.0,0.0,3.9748388512123913,0.0,0.0,0.0,4.909642059480412,0.0,0.0,0.0,4.549224204954661,0.0,0.0,0.0,4.040512270096644,0.0
0.0,0.0,3.871207664331583,0.0,0.0,0.0,3.980043058614176,0.0,0.0,0.0,4.593400062312306,0.0,0.0,0.0,4.661651365173357,0.0,0.0,0.0,3.938815442311692,0.0
0.0,0.0,4.132825846486586,0.0,0.0,0.0,4.038877260912229,0.0,0.0,0.0,4.813818337486818,0.0,0.0,0.0,4.820023397505367,0.0,0.0,0.0,4.017206961977751,0.0
0.0,0.0,3.851089142357304,0.0,0.0,0.0,3.955123917847528,0.0,0.0,0.0,4.506330697070068,0.0,-0.3132525083566687,0.0330756861293898,4.433950268243891,0.5760015671818068,0.0,0.0,3.9236161574175976,0.0
0.0,0.0,3.9368265503037736,0.0,0.0,0.0,3.958113387093548,0.0,0.0,0.0,4.604960691311545,0.0,0.0,0.0,4.518623518082356,0.0,0.0,0.0,4.016444281000823,0.0
0.0,0.0,3.973035813357213,0.0,0.0,0.0,4.07122145179852,0.0,0.0,0.0,4.668407931117748,0.0,0.0,0.0,4.774747717677749,0.0,0.0,0.0,3.93399626594226,0.0
0.0,0.0,3.925495881635513,0.0,0.0,0.0,3.9441050145110568,0.0,0.0,0.0,4.626299610072507,0.0,0.0,0.0,4.780105669323234,0.0,0.0,0.0,3.9178328142717183,0.0
0.0,0.0,4.006717119783253,0.0,0.0,0.0,3.9224336033424594,0.0,0.0,0.0,4.757675049410957,0.0,0.0,0.0,4.6269150310149625,0.0,0.0,0.0,4.014692208299766,0.0
0.0,0.0,4.193208016100092,0.0,0.0,0.0,4.086324513707284,0.0,0.0,0.0,4.915342482693563,0.0,0.0,0.0,4.888789266770805,0.0,0.0,0.0,4.14091318592769,0.0
0.0,0.0,4.02090290845354,0.0,0.0,0.0,4.140520490930185,0.0,0.0,0.0,4.702320911425858,0.0,0.0,0.0,4.84023255906768,0.0,0.0,0.0,4.087021297717531,0.0
0.0,0.0,4.047634826916256,0.0,0.0,0.0,3.929357826191348,0.0,0.0,0.0,4.725491559840182,0.0,0.0,0.0,4.766472231400143,0.0,0.0,0.0,3.90492524889803,0.0
0.0,0.0,3.933147304786144,0.0,0.0,0.0,3.989885601564376,0.0,0.0,0.0,4.670175664739961,0.0,0.0,0.0,4.626391885579591,0.0,0.0,0.0,3.939480142506433,0.0
0.0,0.0,3.955865623218861,0.0,0.0,0.0,3.9004558945317567,0.0,0.0,0.0,4.702803323397356,0.0,0.0,0.0,4.439570658888641,0.0,0.0,0.0,3.922725211643385,0.0
0.0,0.0,3.980102233280105,0.0,0.0,0.0,3.989993531167423,0.0,0.0,0.0,4.675364891944262,0.0,0.0,0.0,4.724111789432779,0.0,0.0,0.0,3.948935545705409,0.0
0.0,0.0,4.116768873692725,0.0,0.0,0.0,4.133318458896077,0.0,0.0,0.0,4.89253516379319,0.0,0.0,0.0,4.863967127177047,0.0,0.0,0.0,4.127107562680997,0.0
0.0,0.0,3.996965074171826,0.0,0.0,0.0,3.86241470843262,0.0,0.0,0.0,4.7343120286104,0.0,0.0,0.0,4.603790421693106,0.0,0.0,0.0,4.02467527391104,0.0
0.0,0.0,3.871751468366473,0.0,0.0,0.0,3.934178287037197,0.0,0.0,0.0,4.535232154672088,0.0,0.0,0.0,4.570411432707432,0.0,0.0,0.0,3.945680315135875,0.0
0.0,0.0,3.7881591805582047,0.0,0.0,0.0,3.8989675081598265,0.0,0.0,0.0,4.486943979242252,0.0,0.0,0.0,4.525370352780542,0.0,0.0,0.0,3.9489631918423487,0.0
0.0,0.0,3.843921668086258,0.0,0.0,0.0,3.8270845716337134,0.0,0.0,0.0,4.518361330578442,0.0,0.0,0.0,4.275180204279847,0.0,0.0,0.0,3.890010306519317,0.0
0.0,0.0,4.091531037728926,0.0,0.0,0.0,4.193298737418097,0.0,0.0,0.0,4.785196365625096,0.0,0.0,0.0,4.927959142239609,0.0,0.0,0.0,4.1077518322577244,0.0
0.0,0.0,3.891729071870581,0.0,0.0,0.0,3.9322101124171818,0.0,0.0,0.0,4.6110483115772505,0.0,0.0,0.0,4.491934493034766,0.0,0.0,0.0,3.881376081267547,0.0
0.0,0.0,3.944582465139929,0.0,0.0,0.0,3.8003208893910942,0.0,0.0,0.0,4.672423404294828,0.0,0.0,0.0,4.267503728440662,0.0,0.0,0.0,3.931462285161001,0.0
0.0,0.0,3.959136323799633,0.0,0.0,0.0,3.8234242724942296,0.0,0.0,0.0,4.732073002460319,0.0,0.0,0.0,4.283434890488903,0.0,0.0,0.0,3.8612245022438367,0.0
0.0,0.0,4.037530737279923,0.0,0.0,0.0,3.992300799622465,0.0,0.0,0.0,4.794785895637052,0.0,0.0,0.0,4.681993038244803,0.0,0.0,0.0,4.026990132907967,0.0
0.0,0.0,3.910538892842136,0.0,0.0,0.0,4.018787273276737,0.0,0.0,0.0,4.648306681213136,0.0,0.0,0.0,4.741436082801671,0.0,0.0,0.0,4.03773562084455,0.0
0.0,0.0,3.97076181845693,0.0,0.0,0.0,4.060277057034936,0.0,0.0,0.0,4.72284218214295,0.0,0.0,0.0,4.589076209404366,0.0,0.0,0.0,4.060090184392949,0.0
0.0,0.0,4.038299839812458,0.0,0.0,0.0,3.9768491971795137,0.0,0.0,0.0,4.700518913068263,0.0,0.0,0.0,4.540430603907424,0.0,0.0,0.0,4.061556786073494,0.0
0.0,0.0,3.8589000945677,0.0,0.0,0.0,3.868407037481695,0.0,0.0,0.0,4.498480605048639,0.0,0.0,0.0,4.4720362429545455,0.0,0.0,0.0,3.97861946511464,0.0
0.0,0.0,4.046668720673815,0.0,0.0,0.0,4.017417436322114,0.0,0.0,0.0,4.687047021920391,0.0,0.0,0.0,4.692803450208733,0.0,0.0,0.0,4.068048179413526,0.0
0.0,0.0,3.957490929883825,0.0,0.0,0.0,3.9708063434275593,0.0,0.0,0.0,4.73010638057852,0.0,0.0,0.0,4.609186269085037,0.0,0.0,0.0,3.99883542937392,0.0
0.0,0.0,4.109682764263167,0.0,0.0,0.0,4.107638155794742,0.0,0.0,0.0,4.816924910472467,0.0,0.0,0.0,4.754626148546226,0.0,0.0,0.0,4.044055739475178,0.0
0.0,0.0,4.037913879157721,0.0,0.0,0.0,4.116590949976482,0.0,0.0,0.0,4.826230190397729,0.0,0.0,0.0,4.739637982797788,0.0,0.0,0.0,4.063735119428935,0.0
0.0,0.0,4.092365169367757,0.0,0.0,0.0,4.20916469036485,0.0,0.0,0.0,4.827986105630549,0.0,0.0,0.0,5.00843995177767,0.0,0.0,0.0,4.142716199552153,0.0
0.0,0.0,4.055161837500046,0.0,0.0,0.0,4.162246236651836,0.0,0.0,0.0,4.796547690198968,0.0,0.0,0.0,4.876185974948424,0.0,0.0,0.0,4.149335523741862,0.0
0.0,0.0,4.058742315174466,0.0,0.0,0.0,4.0724419332331125,0.0,0.0,0.0,4.8101099092970925,0.0,0.0,0.0,4.890659513976538,0.0,0.0,0.0,4.114449460677228,0.0
0.0,0.0,4.017458018446619,0.0,0.0,0.0,4.082983170033229,0.0,0.0,0.0,4.741480328422206,0.0,0.0,0.0,4.669176618523623,0.0,0.0,0.0,4.088342863206173,0.0
0.0,0.0,3.904759595386636,0.0,0.0,0.0,3.936006773950136,0.0,0.0,0.0,4.543483270411905,0.0,0.0,0.0,4.618662920059078,0.0,0.0,0.0,3.9094637332958864,0.0
0.0,0.0,3.9942789353890222,0.0,0.0,0.0,3.995248376325198,0.0,0.0,0.0,4.580538179028699,0.0,0.0,0.0,4.6028988866551,0.0,0.0,0.0,4.0171467096710165,0.0
0.0,0.0,3.991142398322295,0.0,0.0,0.0,3.8869678019374376,0.0,0.0,0.0,4.585477854068579,0.0,0.0,0.0,4.560827891100764,0.0,0.0,0.0,3.931838983713485,0.0
0.0,0.0,3.886805219518176,0.0,0.0,0.0,3.938580267794016,0.0,0.0,0.0,4.611204701886968,0.0,0.0,0.0,4.731233767679695,0.0,0.0,0.0,3.887050479297725,0.0
0.0,0.0,3.931824870041985,0.0,0.0,0.0,3.89902770830732,0.0,0.0,0.0,4.572903793955876,0.0,0.0,0.0,4.636581758647846,0.0,0.0,0.0,3.9065771693182634,0.0
0.0,0.0,3.954516091135051,0.0,0.0,0.0,3.86962080386547,0.0,0.0,0.0,4.726550768197829,0.0,0.0,0.0,4.4158525778457935,0.0,0.0,0.0,4.015738266456534,0.0
0.0,0.0,4.1074750407906295,0.0,0.0,0.0,4.268653964773397,0.0,0.0,0.0,4.867742392300402,0.0,0.0,0.0,4.937334653582036,0.0,0.0,0.0,4.189495408529594,0.0
0.0,0.0,3.92797083394362,0.0,0.0,0.0,3.991451468950397,0.0,0.0,0.0,4.662404490517725,0.0,0.0,0.0,4.663465102541833,0.0,0.0,0.0,3.8621501135034215,0.0
0.0,0.0,4.002442445118364,0.0,0.0,0.0,4.015213482417253,0.0,0.0,0.0,4.755217652470656,0.0,0.0,0.0,4.671779868788091,0.0,0.0,0.0,3.9949390773391342,0.0
0.0,0.0,4.035411435653627,0.0,0.0,0.0,3.9737985063626406,0.0,0.0,0.0,4.751975938424764,0.0,0.0,0.0,4.490137312393141,0.0,0.0,0.0,4.019916879360624,0.0
0.0,0.0,4.029789709106926,0.0,0.0,0.0,3.9232846596154314,0.0,0.0,0.0,4.762455828154192,0.0,0.0,0.0,4.439517899349163,0.0,0.0,0.0,3.940848678751968,0.0
0.0,0.0,3.9063307441346673,0.0,0.0,0.0,3.94356684437837,0.0,0.0,0.0,4.668958262912265,0.0,0.0,0.0,4.686186112577346,0.0,0.0,0.0,3.9612810315835,0.0
0.0,0.0,4.117725503149628,0.0,0.0,0.0,4.059952896343554,0.0,0.0,0.0,4.82695476748684,0.0,0.0,0.0,4.704874652294085,0.0,0.0,0.0,4.091968549631254,0.0
0.0,0.0,3.881114102650576,0.0,0.0,0.0,4.100111548579536,0.0,0.0,0.0,4.561869434877687,0.0,0.0,0.0,4.77447694198689,0.0,0.0,0.0,4.044069593510027,0.0
0.0,0.0,4.07168036565746,0.0,0.0,0.0,3.9750430324948143,0.0,0.0,0.0,4.828918565333822,0.0,0.0,0.0,4.471837677576142,0.0,0.0,0.0,4.075197351318666,0.0
0.0,0.0,3.8781850702143217,0.0,0.0,0.0,3.87342580122888,0.0,0.0,0.0,4.582993593034942,0.0,0.0,0.0,4.5898631837661,0.0,0.0,0.0,3.9202611772864753,0.0
0.0,0.0,4.159939522144409,0.0,0.0,0.0,4.284328432339985,0.0,0.0,0.0,4.936969538892864,0.0,0.0,0.0,5.04142595044128,0.0,0.0,0.0,4.149391628419963,0.0
0.0,0.0,3.9961644829290983,0.0,0.0,0.0,4.0858688825522655,0.0,0.0,0.0,4.745294301256187,0.0,0.0,0.0,4.852128737779384,0.0,0.0,0.0,4.018611249999715,0.0
0.0,0.0,3.9619901654899983,0.0,0.0,0.0,3.9864162159203103,0.0,0.0,0.0,4.735483995695154,0.0,0.0,0.0,4.638156179056278,0.0,0.0,0.0,3.971925652603259,0.0
0.0,0.0,3.859431067094184,0.0,0.0,0.0,3.841365638729308,0.0,0.0,0.0,4.554450399831013,0.0,0.0,0.0,4.410823830009607,0.0,0.0,0.0,3.845700608532909,0.0
0.0,0.0,3.907881919742049,0.0,0.0,0.0,3.998496004579178,0.0,0.0,0.0,4.63783832998518,0.0,0.0,0.0,4.662107437880399,0.0,0.0,0.0,3.981359630775488,0.0
0.0,0.0,4.092907249935871,0.0,0.0,0.0,4.063271919782636,0.0,0.0,0.0,4.784314836283391,0.0,0.0,0.0,4.527183541797153,0.0,0.0,0.0,4.094199752439607,0.0
0.0,0.0,4.076829266887342,0.0,0.0,0.0,4.063770417073046,0.0,0.0,0.0,4.8727429751555125,0.0,0.0,0.0,4.655417203073903,0.0,0.0,0.0,3.9881387361695273,0.0
0.0,0.0,3.9160186387039535,0.0,0.0,0.0,3.999126653131461,0.0,0.0,0.0,4.680537511665691,0.0,0.0,0.0,4.634155750559663,0.0,0.0,0.0,4.020052762138808,0.0
0.0,0.0,3.7666594403695455,0.0,0.0,0.0,3.8254656133580056,0.0,0.0,0.0,4.502019124749158,0.0,0.0,0.0,4.462612036878104,0.0,0.0,0.0,3.934295822461798,0.0
0.0,0.0,4.000761871093365,0.0,0.0,0.0,3.904913855009957,0.0,0.0,0.0,4.748197165798843,0.0,0.0,0.0,4.622161467532767,0.0,0.0,0.0,3.96425443380198,0.0
0.0,0.0,3.903230455716291,0.0,0.0,0.0,3.930929990100245,0.0,0.0,0.0,4.665252709497434,0.0,0.0,0.0,4.41024658905204,0.0,0.0,0.0,3.9127212405294696,0.0
0.0,0.0,3.923680600577468,0.0,0.0,0.0,3.955532182981199,0.0,0.0,0.0,4.6896953077005445,0.0,0.0,0.0,4.494500964645663,0.0,0.0,0.0,3.981365239086513,0.0
0.0,0.0,4.060402399773095,0.0,0.0,0.0,4.110163860109469,0.0,0.0,0.0,4.773428799733691,0.0,0.0,0.0,4.73762981749528,0.0,0.0,0.0,4.085046267947444,0.0
0.0,0.0,3.815460903525704,0.0,0.0,0.0,3.8795882389273992,0.0,0.0,0.0,4.450669008470832,0.0,0.0,0.0,4.527800267132457,0.0,0.0,0.0,3.8361983130271895,0.0
0.0,0.0,4.085764357487713,0.0,0.0,0.0,3.96688635774192,0.0,0.0,0.0,4.835174106192151,0.0,0.0,0.0,4.589891440689376,0.0,0.0,0.0,4.026012533585213,0.0
0.0,0.0,4.008670151973095,0.0,0.0,0.0,3.954579149691234,0.0,0.0,0.0,4.724661215243176,0.0,0.0,0.0,4.587929064003845,0.0,0.0,0.0,3.8668975425953143,0.0
0.0,0.0,4.137131338595282,0.0,0.0,0.0,4.1167086553682335,0.0,0.0,0.0,4.901125908726508,0.0,0.0,0.0,4.7221022121873695,0.0,0.0,0.0,4.0679419593586985,0.0
0.0,0.0,3.814250005615361,0.0,0.0,0.0,3.8024461087511807,0.0,0.0,0.0,4.519028418363459,0.0,0.0,0.0,4.420451913182127,0.0,0.0,0.0,3.882255317772634,0.0
0.0,0.0,3.9002722863260577,0.0,0.0,0.0,3.953350915637936,0.0,0.0,0.0,4.566072486835974,0.0,0.0,0.0,4.638549818970655,0.0,0.0,0.0,3.982393355216435,0.0
0.0,0.0,4.3360604864368,0.0,0.0,0.0,4.278814027801414,0.0,0.0,0.0,5.074260483507242,0.0,0.0,0.0,5.039282711235961,0.0,0.0,0.0,4.233913995113688,0.0
0.0,0.0,4.035778208687352,0.0,0.0,0.0,3.864087365144315,0.0,0.0,0.0,4.823677575951433,0.0,0.0,0.0,4.605409932904725,0.0,0.0,0.0,3.9106896145138537,0.0
0.0,0.0,3.954866109883818,0.0,0.0,0.0,4.045368216532293,0.0,0.0,0.0,4.689070335543287,0.0,0.0,0.0,4.764425024355703,0.0,0.0,0.0,4.013622828043778,0.0
0.0,0.0,3.988179468937236,0.0,0.0,0.0,4.004735702357629,0.0,0.0,0.0,4.63029356595984,0.0,0.0,0.0,4.671485974385932,0.0,0.0,0.0,3.999516480123524,0.0
0.0,0.0,3.818070601022882,0.0,0.0,0.0,3.933605239935148,0.0,0.0,0.0,4.563467214801112,0.0,0.0,0.0,4.515813552615816,0.0,0.0,0.0,3.893776200097237,0.0
0.0,0.0,4.070014167465237,0.0,0.0,0.0,4.029136131019475,0.0,0.0,0.0,4.798759935666904,0.0,0.0,0.0,4.698813446587764,0.0,0.0,0.0,4.020533603600264,0.0
0.0,0.0,3.944738080500929,0.0,0.0,0.0,3.84377328501784,0.0,0.0,0.0,4.676837449756071,0.0,0.0,0.0,4.4243575141087135,0.0,0.0,0.0,3.8652006569062047,0.0
0.0,0.0,4.077732287658172,0.0,0.0,0.0,3.961247362877657,0.0,0.0,0.0,4.80959683981754,0.0,0.0,0.0,4.60976951110564,0.0,0.0,0.0,4.043316521171101,0.0
0.0,0.0,4.026355774804896,0.0,0.0,0.0,4.019460915905689,0.0,0.0,0.0,4.812415613405559,0.0,0.0,0.0,4.7166067587961695,0.0,0.0,0.0,3.9493288952105376,0.0
0.0,0.0,3.988660729633675,0.0,0.0,0.0,3.977009568935289,0.0,0.0,0.0,4.693227005329727,0.0,0.0,0.0,4.622148850183218,0.0,0.0,0.0,4.0227341587116285,0.0
0.0,0.0,3.8274349722994425,0.0,0.0,0.0,3.778550481560564,0.0,0.0,0.0,4.503128562214117,0.0,0.0,0.0,4.347719858267017,0.0,0.0,0.0,3.8065336126152896,0.0
0.0,0.0,4.039876435853749,0.0,0.0,0.0,4.144931840276195,0.0,0.0,0.0,4.804073004881136,0.0,0.0,0.0,4.88870432696419,0.0,0.0,0.0,4.020325017324699,0.0
0.0,0.0,4.00307547972423,0.0,0.0,0.0,3.885549650196765,0.0,0.0,0.0,4.7579827752423824,0.0,0.0,0.0,4.591662275564176,0.0,0.0,0.0,3.968171024044058,0.0
0.0,0.0,3.9781367891053065,0.0,0.0,0.0,4.019807550153359,0.0,0.0,0.0,4.7147503144780165,0.0,0.0,0.0,4.673614079205506,0.0,0.0,0.0,3.994662286388383,0.0
0.0,0.0,4.164401736638403,0.0,0.0,0.0,4.163958227923554,0.0,0.0,0.0,4.83612165627554,0.0,0.0,0.0,4.948472550421438,0.0,0.0,0.0,4.067996257985487,0.0
