m_obs1,asym_se_obs1,sigma_hat_obs1,ci_len_obs1,m_obs2,asym_se_obs2,sigma_hat_obs2,ci_len_obs2,m_ipw1,asym_se_ipw1,sigma_hat_ipw1,ci_len_ipw1,m_ipw2,asym_se_ipw2,sigma_hat_ipw2,ci_len_ipw2,m_full,asym_se_full,sigma_hat_full,ci_len_full
0.0,0.0,1.329559791953486,0.0,0.0,0.0,1.3764656810746332,0.0,0.0,0.0,1.4212592962160215,0.0,0.0,0.0,1.3796641150961664,0.0,0.0,0.0,1.1958475856318542,0.0
0.0,0.0,1.2677683451970907,0.0,0.0,0.0,1.3539400062173146,0.0,0.0,0.0,1.445313761544047,0.0,0.0,0.0,1.51999246101028,0.0,0.0,0.0,1.2508514284449483,0.0
0.0,0.0,1.3616891866143237,0.0,0.0,0.0,1.3642711424025185,0.0,0.0,0.0,1.4796748250150422,0.0,0.0,0.0,1.366705232297288,0.0,0.0,0.0,1.296498158031096,0.0
0.0,0.0,1.2769939276803937,0.0,0.0,0.0,1.26959625028054,0.0,0.0,0.0,1.437858977047467,0.0,0.0,0.0,1.3615632327184937,0.0,0.0,0.0,1.2462009863120844,0.0
0.0,0.0,1.3038331713110554,0.0,0.0,0.0,1.366141167854843,0.0,0.0,0.0,1.47592231353369,0.0,0.0,0.0,1.4185690940507556,0.0,0.0,0.0,1.2891897639432028,0.0
0.0,0.0,1.3195246150593112,0.0,0.0,0.0,1.3724863610474205,0.0,0.0,0.0,1.4317639523978416,0.0,0.0,0.0,1.3960729285212443,0.0,0.0,0.0,1.2615671718573511,0.0
0.0,0.0,1.2631019231879768,0.0,0.0,0.0,1.2278295069147438,0.0,0.0,0.0,1.4160758367621773,0.0,0.0,0.0,1.3218295254616743,0.0,0.0,0.0,1.173181163892514,0.0
0.0,0.0,1.2666957162497028,0.0,0.0,0.0,1.2887179263608417,0.0,0.0,0.0,1.403753091919974,0.0,0.0,0.0,1.361691649712371,0.0,0.0,0.0,1.218231517616306,0.0
0.0,0.0,1.3736613323767608,0.0,0.0,0.0,1.336667773579922,0.0,0.0,0.0,1.4305126315040133,0.0,0.0,0.0,1.4990873096997857,0.0,0.0,0.0,1.269112806556577,0.0
0.0,0.0,1.2943433839210456,0.0,0.0,0.0,1.3115495950684488,0.0,0.0,0.0,1.46356424066547,0.0,0.0,0.0,1.4469598649847135,0.0,0.0,0.0,1.2501068667790172,0.0
0.0,0.0,1.318741066810974,0.0,0.0,0.0,1.3591880875188047,0.0,0.0,0.0,1.4448701863772997,0.0,0.0,0.0,1.436858063007891,0.0,0.0,0.0,1.2254747373463826,0.0
0.0,0.0,1.3248940982925126,0.0,0.0,0.0,1.360449751561855,0.0,0.0,0.0,1.4375721689489374,0.0,0.0,0.0,1.4148766691667791,0.0,0.0,0.0,1.2240118641393258,0.0
0.0,0.0,1.2850965447370917,0.0,0.0,0.0,1.3162007200360364,0.0,0.0,0.0,1.4430410644326854,0.0,0.0,0.0,1.4446613124472998,0.0,0.0,0.0,1.2170897215081862,0.0
0.0,0.0,1.2522105390229696,0.0,0.0,0.0,1.346003675640017,0.0,0.0,0.0,1.4495305589478775,0.0,0.0,0.0,1.514304553842322,0.0,0.0,0.0,1.228243167143324,0.0
0.0,0.0,1.366486383860667,0.0,0.0,0.0,1.3386752877368968,0.0,0.0,0.0,1.3844982570862283,0.0,0.0,0.0,1.4255452991461797,0.0,0.0,0.0,1.1980332609181616,0.0
0.0,0.0,1.261235116367826,0.0,0.0,0.0,1.3294892930884548,0.0,0.0,0.0,1.4034040886540031,0.0,0.0,0.0,1.4033777663767095,0.0,0.0,0.0,1.2037007697141586,0.0
0.0,0.0,1.3370093311191134,0.0,0.0,0.0,1.2963794163113405,0.0,0.0,0.0,1.4244335576273637,0.0,0.0,0.0,1.3954411349612523,0.0,0.0,0.0,1.253969297326033,0.0
0.0,0.0,1.2224537548926666,0.0,0.0,0.0,1.3295573820424158,0.0,0.0,0.0,1.366684643029804,0.0,0.0,0.0,1.3955167747816433,0.0,0.0,0.0,1.2207266772564842,0.0
0.0,0.0,1.3074139470272326,0.0,0.0,0.0,1.4026283434700697,0.0,0.0,0.0,1.4485930712445696,0.0,0.0,0.0,1.4597564794412268,0.0,0.0,0.0,1.2249006611518247,0.0
0.0,0.0,1.289433459690822,0.0,0.0,0.0,1.2812785421972628,0.0,0.0,0.0,1.4399928407570497,0.0,0.0,0.0,1.3908260178878176,0.0,0.0,0.0,1.2352836627057502,0.0
0.0,0.0,1.3505179526800015,0.0,0.0,0.0,1.4056993102306774,0.0,0.0,0.0,1.4848231830511642,0.0,0.0,0.0,1.3953063030648372,0.0,0.0,0.0,1.2626732990654908,0.0
0.0,0.0,1.323260836412712,0.0,0.0,0.0,1.340564919512002,0.0,0.0,0.0,1.4300846225501689,0.0,0.0,0.0,1.3826471588977216,0.0,0.0,0.0,1.2154757153314173,0.0
0.0,0.0,1.277971122630733,0.0,0.0,0.0,1.3117766600026917,0.0,0.0,0.0,1.417832286283092,0.0,0.0,0.0,1.4215351402956815,0.0,0.0,0.0,1.2358450870630566,0.0
0.0,0.0,1.361239528814236,0.0,0.0,0.0,1.3578208689767146,0.0,0.0,0.0,1.4760357862879905,0.0,0.0,0.0,1.4416699943354496,0.0,0.0,0.0,1.285472844002818,0.0
0.0,0.0,1.3807792968214934,0.0,0.0,0.0,1.4105496429287472,0.0,0.0,0.0,1.5240080296947296,0.0,0.0,0.0,1.5117055897335276,0.0,0.0,0.0,1.2742302082413546,0.0
0.0,0.0,1.2911732877205917,0.0,0.0,0.0,1.3357731591700563,0.0,0.0,0.0,1.4368015893526258,0.0,0.0,0.0,1.4500581628501044,0.0,0.0,0.0,1.273295592031342,0.0
0.0,0.0,1.3258789399444098,0.0,0.0,0.0,1.3634876012394823,0.0,0.0,0.0,1.452552596618474,0.0,0.0,0.0,1.454464723335944,0.0,0.0,0.0,1.228862678794007,0.0
