PLATE,MJD,FIBERID,RA,DEC,Z,class_x,comov_dist,dist_DirFila_comov,dist_DirModes_comov,dist_DirKnots_comov,dist_DirFila_angdiam,dist_DirKnots_angdiam,dist_DirModes_angdiam,dist_EuFila_angdiam,dist_EuKnots_angdiam,dist_EuModes_angdiam,dist_EuFila_comov,dist_EuModes_comov,dist_EuKnots_comov,dist_DirLinFila_comov,dist_DirLinModes_comov,dens_Dir,dens_Eu,SPECOBJID,Chabrier_MILES_total_mass,Chabrier_MILES_age_lightW,Chabrier_MILES_age_massW,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_massW,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_metallicity_massW,objid,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,run,rerun,camcol,field,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,specobjid,class_y,Plug_RA,Plug_dec,redshift,snMedian_u,snMedian_g,snMedian_r,snMedian_i,snMedian_z,snMedian,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,spectroFluxIvar_u,spectroFluxIvar_g,spectroFluxIvar_r,spectroFluxIvar_i,spectroFluxIvar_z,spectroSynFlux_u,spectroSynFlux_g,spectroSynFlux_r,spectroSynFlux_i,spectroSynFlux_z,spectroSynFluxIvar_u,spectroSynFluxIvar_g,spectroSynFluxIvar_r,spectroSynFluxIvar_i,spectroSynFluxIvar_z,spectroSkyFlux_u,spectroSkyFlux_g,spectroSkyFlux_r,spectroSkyFlux_i,spectroSkyFlux_z,sn1_g,sn1_r,sn1_i,sn2_g,sn2_r,sn2_i
276,51909,605,164.59242,0.86985431,0.4001028537750244,GALAXY,1599.5810078335178,46.30583782191002,47.54832075821282,94.14436480979792,32.34818054786219,66.8398416024659,33.253090718756425,9.056436885180585,31.2916446286158,32.75883702361865,15.80111909870662,46.86951780324295,44.85698099794532,59.60034732869389,73.60081391435371,0.43456529416233,0.0001941393230401,    310914707449997312,310842093155.5066,7928080826.833334,9977192493.500002,1.6907752659667183,1.9966769764192795,429959580674.0992,10026009996.999998,1.9966769764192795,14675079996.999985,1.9966769764192795,1.2376746515325914e+18,164.592425956608,0.869828790204155,26.5159,20.8326,19.14239,18.43105,17.95781,0.8839609,0.05827201,0.02167739,0.01801271,0.04093654,6793.0,301.0,6.0,27.0,26.5159,20.8326,19.14239,18.43105,17.95781,25.44939,20.58232,19.14241,18.34511,17.91925,0.1392181,0.1084778,0.07504442,0.05576605,0.0414797,3.109147074499973e+17,GALAXY,164.59242,0.86985431,0.4001029,0.5763321,1.292815,6.33193,9.119566,5.575915,3.829321,1.843202,1.929815,10.59238,19.66914,28.57853,1.840606,4.404647,4.175874,2.09014,1.128263,0.4944035,1.873521,10.44975,19.47036,26.84338,3.36303,4.299682,4.691363,2.654329,1.384501,5.35421,10.75401,27.37779,51.89083,89.63586,33.5435,36.7796,32.1816,32.7819,34.16,30.7545
277,51908,430,165.09232,0.10579219,0.4001657962799072,GALAXY,1599.8055358984302,59.32847517806506,59.6015301221876,118.70948048137826,41.76527402754445,84.42698636596694,41.96270851472855,5.200443805124858,40.378661791496256,40.380196117282686,12.078046751339969,57.41386160524775,57.41174166277071,71.27363428907759,90.74619995130828,0.3154956333822821,0.0001518571411635,    311992503706347520,578135763308.9869,10027170826.833332,13625610826.833334,1.6575250800479617,1.9966769764192795,583965143749.4126,9526109997.000002,1.7506256006204803,13825249997.000011,1.9900269392355285,1.2376746504590461e+18,165.092307945192,0.105777083217775,23.94815,20.5967,18.84989,18.13878,17.73755,1.859456,0.04228713,0.015816,0.01252719,0.03415772,6793.0,301.0,4.0,30.0,23.94815,20.5967,18.84989,18.13878,17.73755,23.63865,20.31554,18.8499,18.12758,17.8626,0.136028,0.1059921,0.07332485,0.05448823,0.04052923,3.119925037063475e+17,GALAXY,165.09232,0.10579219,0.4001658,-0.08699682,1.442635,6.341427,10.7059,6.550737,4.166194,-0.5931951,2.790346,14.3453,29.25635,41.94766,1.48001,5.011507,3.763081,1.722636,0.7019814,0.5412592,2.659755,14.43951,28.66204,41.35827,3.410715,4.703911,4.369305,2.364069,1.228541,5.88506,12.03352,28.3464,49.52873,83.76037,22.9073,23.8706,21.8558,22.6728,24.5531,21.3639
287,52023,61,184.32139,-0.69428663,0.4001704454421997,GALAXY,1599.8221200268397,88.3623870508614,114.13477467812172,156.45996969583592,62.667741702894666,111.45046075414844,81.14852586682781,8.050717023721232,57.79726788531672,82.35988730682156,14.846190262571586,115.82568820168764,81.58180558324541,92.28279314006096,92.33497783458044,0.1550681835549846,0.0001057284086238,    323150074756491264,222861657469.74725,6578665826.833333,13025870826.83335,1.5045742248216811,1.9966769764192795,353773323364.613,9176179996.999998,1.9966769764192795,13875239996.999998,1.9966769764192795,1.2376487035037294e+18,184.321404547433,-0.694309075540584,24.58463,20.32992,18.35835,17.71612,17.21018,3.830184,0.07606713,0.02006322,0.01646184,0.03773625,752.0,301.0,2.0,272.0,24.58463,20.32992,18.35835,17.71612,17.21018,22.61887,20.54909,18.44276,18.16228,17.37769,0.1006811,0.07845002,0.05427137,0.04032944,0.0299977,3.2315007475649126e+17,GALAXY,184.32139,-0.69428663,0.4001704,0.2198096,1.025995,4.895129,7.457937,4.434257,3.013064,-0.09710191,1.254959,9.019945,19.1636,28.55741,1.332496,1.605242,2.081284,1.142362,0.6778484,-0.06537353,1.197651,9.178086,18.96439,27.96581,2.678749,1.610911,2.26454,1.346333,0.7714586,5.056895,16.26096,58.22731,116.7906,191.2324,25.4744,22.8106,18.8935,24.2719,23.7287,17.7534
332,52367,418,182.32998,-1.3635386,0.4000275731086731,GALAXY,1599.312456206751,119.06137723983028,135.228308922186,136.31133746066232,84.71960954662113,97.06966939535162,96.29443325516768,44.10647015052118,82.36871295233722,97.29479598817194,62.48612849675144,136.62585039594532,115.77883406714744,119.3627394406423,125.1890958061283,0.046415083098299,2.060692479338388e-05,    373913707748550656,670889209165.8848,12276195826.833319,14975025826.833355,1.7240254518854752,1.9966769764192795,686070735901.7325,13875239996.999998,1.4979241876379297,14675079997.000023,1.8437261211929992,1.2376503720935432e+18,182.329969072854,-1.36352660558844,22.87946,20.78036,18.99024,18.36658,17.93687,0.6743516,0.04919429,0.01767166,0.01647,0.04052202,1140.0,301.0,6.0,196.0,22.87946,20.78036,18.99024,18.36658,17.93687,21.89157,20.48506,18.99024,18.39029,17.9553,0.08328997,0.06489898,0.04489681,0.03336314,0.02481605,3.7391370774855066e+17,GALAXY,182.32998,-1.3635386,0.4000276,0.4829781,1.104518,5.988503,8.499498,5.339622,3.585859,1.555073,2.429104,13.7548,27.30327,39.15596,1.295767,2.272838,2.293247,1.338501,0.7125329,0.3687586,2.370308,13.70227,27.06898,38.29784,1.951075,2.255648,2.378393,1.478662,0.737601,12.0238,25.93814,41.19625,68.08878,109.7903,12.3479,15.3585,15.0301,15.8542,17.0893,16.5449
333,52313,466,184.59794,-2.5916826,0.4000841975212097,GALAXY,1599.5144557717083,137.90369972554132,165.8159276839219,198.3133923599064,98.1936594281,141.42603063389672,118.1697326824927,26.77163531568925,94.30639340615492,119.37893070042816,38.66912232283303,167.50568225480208,132.47333803749746,143.1729488960993,143.18566841585462,0.0093133537381214,1.4525287971152404e-05,    375052800888956928,342603570859.7536,11626477493.500008,14775112493.50001,1.7905258237229882,1.9966769764192795,322672210081.12933,10425929997.0,1.8636762327442529,14825049996.999994,1.8902763814792585,1.2376503704839785e+18,184.597936584356,-2.59167266257652,21.94542,20.49281,18.71999,18.00847,17.82833,0.4865437,0.06698132,0.02343602,0.0194965,0.06639106,1140.0,301.0,3.0,212.0,21.94542,20.49281,18.71999,18.00847,17.82833,20.19044,20.6547,18.71999,17.96841,18.20011,0.1391471,0.1084224,0.07500614,0.0557376,0.04145854,3.750528008889569e+17,GALAXY,184.59794,-2.5916826,0.4000842,0.5076824,0.9329042,4.582425,6.392506,4.019793,2.616545,0.5730385,1.165027,7.684614,16.4994,23.55178,1.41621,3.013575,1.826297,1.243553,0.5814597,0.2411127,1.113341,7.675313,15.93531,24.21277,2.323934,3.052169,2.0396,1.543891,0.7580449,11.56384,18.35067,42.46152,106.5625,176.5063,23.9852,23.5645,15.9296,25.1109,25.6476,18.1091
481,51908,406,148.00059,2.750742,0.4000641703605652,GALAXY,1599.4430124869295,115.95724580999855,119.2753966997596,179.48638901742925,82.4857908509177,127.95790629629472,84.86227643937261,68.49743977660759,78.5708243491634,83.28607219831116,96.43802615630024,117.07458219746496,110.4920737233284,68.92658000887813,95.32213718369024,0.0113673076348433,5.86061007502486e-06,    541669487632476160,449692356428.5779,10377019160.166658,14875069160.16668,1.6974253031504694,1.9966769764192795,390139147759.69324,10375939997.000002,1.0124714732240823,13825249997.000011,1.7373255262529776,1.237653665794884e+18,148.000595787014,2.75072421234788,23.6289,21.0556,19.22746,18.54399,18.09401,1.047125,0.0701977,0.01963528,0.01943849,0.04197592,1907.0,301.0,5.0,170.0,23.6289,21.0556,19.22746,18.54399,18.09401,20.77035,21.15216,19.22746,18.47674,18.08785,0.1479793,0.1153045,0.07976709,0.0592755,0.04409008,5.4166948763247616e+17,GALAXY,148.00059,2.750742,0.4000642,0.1193678,1.056549,4.927165,7.30715,3.880289,2.918946,1.743499,2.174068,11.52166,21.42508,27.0802,1.509173,4.443422,3.194092,1.677009,0.6989117,0.1868124,2.046022,11.53985,21.14861,27.49338,3.235774,4.316514,3.439511,1.884475,1.006472,5.534029,10.43676,26.64552,51.40068,92.37363,24.7824,21.1551,20.7228,28.1233,26.5311,21.6125
508,52366,103,166.31838,1.6468734,0.4001530706882477,GALAXY,1599.760141929491,14.210266025529034,24.396679372505435,110.53503095140915,7.483909233212758,78.57466853221341,16.00498423304499,8.652411793571321,8.652411793571321,13.315167428576093,15.458979620399427,20.981886612394987,15.458979620399427,28.60325810205989,55.50805215975344,0.6569102351989211,0.0002897119991448,    571985504795387904,746589597767.1465,11676455826.833328,13975459160.166656,1.8370760840092475,1.9966769764192795,554257422439.9574,10575899996.999987,1.305073109309141,11125789997.000004,1.7240254518854752,1.2376517529305746e+18,166.31838177912,1.64687860679705,26.53639,20.57868,18.85828,18.17245,17.77859,0.7187757,0.05044222,0.01687455,0.01369364,0.03627951,1462.0,301.0,2.0,273.0,26.53639,20.57868,18.85828,18.17245,17.77859,25.8941,20.77613,18.85833,18.3098,17.82223,0.1690826,0.131748,0.09114265,0.06772876,0.05037775,5.719855047953879e+17,GALAXY,166.31838,1.6468734,0.4001531,0.3566511,1.251131,6.052276,9.547734,5.957342,3.588112,0.7996295,2.890977,16.22516,32.08097,45.38943,1.347135,1.787714,1.354152,0.8794701,0.4967729,0.2113478,2.802971,16.09704,31.70285,45.27979,1.550068,1.803483,1.422523,1.032116,0.6187238,9.413835,19.0351,52.16223,83.3017,146.0554,14.2081,14.7146,13.9405,18.0679,15.8928,14.636
518,52282,239,183.32146,2.042411,0.4000425040721893,GALAXY,1599.3657209581634,39.43158880139947,40.09573512419392,96.09019540692364,27.35845612420616,68.2548996693441,27.84556240761216,23.51637780708741,23.51637780708741,28.880946320744272,34.21858899323423,41.50942142987052,34.21858899323423,28.895729532534236,41.74920985856984,0.95998513418537,0.0003864740259556,    583281885849872384,437061972317.4369,12626044160.166658,14525220826.833338,1.5045742248216811,1.9035764558467612,421732011368.535,11875639996.999994,1.3316732580441462,14375139997.000011,1.8636762327442529,1.237651735758439e+18,183.321492460016,2.04243103622499,25.35306,20.47835,18.72514,18.02495,17.53223,2.955807,0.06866087,0.02342739,0.018872,0.04788684,1458.0,301.0,2.0,391.0,25.35306,20.47835,18.72514,18.02495,17.53223,21.08174,20.72216,18.85571,18.17833,17.99019,0.1278278,0.09960254,0.06890458,0.05120349,0.03808599,5.832818858498724e+17,GALAXY,183.32146,2.042411,0.4000425,-0.0235296,0.8929597,4.763267,7.04441,4.582357,2.739868,0.2383225,1.658148,10.05159,19.31981,28.71081,1.456884,5.906267,3.283861,1.464161,0.6678922,0.4621588,1.561665,9.923312,19.43205,27.90476,2.902403,5.777575,3.439213,1.771596,0.9536416,15.11074,24.11722,50.80729,101.416,166.4478,21.2993,20.9606,18.6443,21.5057,16.9621,14.4726
518,52282,396,183.06352,3.3927674,0.4000712037086487,GALAXY,1599.4681027843772,9.43304313604879,17.877898450734023,85.62594342207457,1.1332069830510474,60.73717146529808,10.89429370575232,1.8077917780082529,28.157690172975496,10.71980169272736,9.637418675627574,17.669469939094125,40.545833989106434,15.035872741434288,50.05058365996443,1.2160328441658266,0.0005023379366758,    583325041681262592,499466582835.1511,8727734160.16667,10976759160.166668,1.7905258237229882,1.9966769764192795,556628239664.6895,11375739996.999994,1.4979241876379297,14775059997.000013,1.7240254518854752,1.2376517550853983e+18,183.063508237506,3.39276048471703,21.47894,20.27159,18.55715,17.86498,17.53406,0.314896,0.04435829,0.01577866,0.01398886,0.03731993,1462.0,301.0,6.0,385.0,21.47894,20.27159,18.55715,17.86498,17.53406,21.71396,20.18436,18.55717,17.90924,17.66,0.08257872,0.06434478,0.04451342,0.03307824,0.02460414,5.833250416812626e+17,GALAXY,183.06352,3.3927674,0.4000712,0.1746977,1.624447,6.461389,9.528269,5.261986,4.074083,0.4775047,3.332035,16.78498,30.89569,40.46465,1.456884,5.906267,3.283861,1.464161,0.6678922,0.269471,3.229463,16.82276,30.74442,40.26355,2.902403,5.777575,3.439213,1.771596,0.9536416,15.12539,24.41106,47.23627,96.5126,155.404,21.2993,20.9606,18.6443,21.5057,16.9621,14.4726
520,52288,604,189.21343,3.4199495000000004,0.4000937044620514,GALAXY,1599.548369773402,26.709447764742777,64.84189172174146,66.07050286750089,17.842863548631495,46.66385008690993,45.77797570203303,4.84730612861702,4.84730612861702,45.75466580447088,11.579926757242756,64.80956988836445,11.579926757242756,43.34776314845384,84.58826140055534,0.6703459225854821,0.0002684998172222,    585634016200255488,501577787130.6097,8377885826.833335,10676889160.166662,1.8171259724579936,1.9966769764192795,701953041567.8901,12375539996.999998,1.5045742248216811,12825449997.000006,1.823776009641745,1.2376517550880852e+18,189.213429760472,3.41994301669063,23.27815,20.06796,18.29068,17.64923,17.17463,1.770245,0.04383536,0.01526018,0.01411489,0.0333011,1462.0,301.0,6.0,426.0,23.27815,20.06796,18.29068,17.64923,17.17463,23.07134,20.04512,18.29068,17.66203,17.1403,0.09753892,0.07600166,0.0525776,0.03907079,0.02906149,5.856340162002555e+17,GALAXY,189.21343,3.4199495,0.4000937,0.8216097,2.196264,9.024841,13.5586,8.13984,5.858973,0.695402,2.81412,16.16532,33.12124,50.05543,1.656731,4.504867,2.614141,1.798819,0.9198679,0.4757324,2.746681,16.2414,33.04561,48.75271,4.198976,4.497245,2.764293,2.191773,1.163164,7.361018,14.0661,37.03294,77.98933,139.7825,37.4601,35.6596,27.7197,36.9817,34.4521,30.9457
